"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"13123","2019ofm","ZTF19abrdxbh","222.72762123333","27.5826173","SN Ia-Ca-rich","0.03025","60246","2019-08-27 00:00:00.00","2458722.5","","P200","DBSP","ZTF","","ZTF","Y","ZTF","","2019ofm_2019-08-27_00-00-00_P200_DBSP_ZTF.txt","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3400","10000.2","1.5246477246477","De et al. 2020","2020ApJ...905...58D","","ZTF_CLU_BOT","2021-02-05 01:36:21"
"13123","2019ofm","","222.72762123333","27.5826173","SN Ia-Ca-rich","0.03025","53765","2019-08-27 04:08:29.00","2458722.6725579","","P200","DBSP","I. Andreoni, V. Karambelkar","Y. Sharma","TNS","Y","TNS","","SN2019ofm_2019-08-27_04-08-29_P200_DBSP_TNS.ascii","SN2019ofm_2019-08-27_04-08-29_P200_DBSP_TNS.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","900","","","","","","","","3400","10000.2","1.4798813148728","","","[TNS source group:  48 - ZTF ]","TNS_Bot1","2019-09-06 23:05:06"
"13123","2019ofm","","222.72762123333","27.5826173","SN Ia-Ca-rich","0.03025","57645","2020-02-18 00:00:00.00","2458897.5","","Keck1","LRIS","None","","TNS","Y","TNS","","SN2019ofm_2020-02-18_00-00-00_Keck1_LRIS_TNS.ascii","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3061.71","10304.368","1.3719751142309","","","[TNS source group:  48 - ZTF ]","TNS_Bot1","2020-07-28 20:05:06"
"13123","2019ofm","ZTF19abrdxbh","222.72762123333","27.5826173","SN Ia-Ca-rich","0.03025","60247","2020-02-18 00:00:00.00","2458897.5","","Keck1","LRIS","ZTF","","ZTF","Y","ZTF","","2019ofm_2020-02-18_00-00-00_Keck1_LRIS_ZTF.txt","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3061.71","10304.368","1.4134773614364","De et al. 2020","2020ApJ...905...58D","","ZTF_CLU_BOT","2021-02-05 01:36:21"
"13123","2019ofm","","222.72762123333","27.5826173","SN Ia-Ca-rich","0.03025","65398","2020-02-18 00:00:00.00","2458897.5","","Keck1","LRIS","ZTF","","TNS","Y","TNS","","SN2019ofm_2020-02-18_00-00-00_Keck1_LRIS_TNS_0.ascii","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3061.71","10304.368","1.4134773614364","","","[TNS source group:  48 - ZTF ]","TNS_Bot1","2022-02-14 04:05:08"
