wave,norm
3815.0483,1093.1037105721357
3815.926,1091.1849078051896
3816.8059,1089.2718720140047
3817.6841,1087.3730497373128
3818.5623,1085.484693243019
3819.4429,1083.6016432950819
3820.3215,1081.7332745051872
3821.2024,1079.8704067452315
3822.0815,1078.0216781038764
3822.9629,1076.1784339921637
3823.8423,1074.3496311732658
3824.7241,1072.52608540141
3825.604,1070.716656939668
3826.4841,1068.9169572007145
3827.3665,1067.1226945070403
3828.2468,1065.3427787571065
3829.1296,1063.5678753881832
3830.0105,1061.806800751512
3830.8938,1060.0509265934281
3831.7751,1058.3089661839817
3832.6565,1056.5766966415008
3833.5403,1054.8495997616926
3834.4224,1053.1356595847756
3835.3064,1051.427844760144
3836.1887,1049.7330739233157
3837.0735,1048.0432531196338
3837.9561,1046.3673241177728
3838.8391,1044.7002809876637
3839.7244,1043.0385416230072
3840.6077,1041.3901430527856
3841.4932,1039.747211429848
3842.377,1038.1169518782094
3843.2629,1036.4923224252643
3844.1472,1034.8800777017677
3845.0315,1033.277236366833
3845.9182,1031.6794479606858
3846.803,1030.0944303560427
3847.6899,1028.5149827107564
3848.5752,1026.9476638367637
3849.4626,1025.385892897282
3850.3481,1023.8366747134215
3851.2339,1022.2960974065081
3852.1221,1020.7605126302935
3853.0083,1019.2374958146628
3853.8967,1017.7197941405653
3854.7832,1016.2143788684992
3855.6721,1014.7139179530159
3856.5591,1013.2256399816562
3857.4463,1011.7459583318035
3858.3359,1010.2712057924647
3859.2234,1008.8088097130785
3860.1135,1007.3509959034922
3861.0015,1005.9054325783521
3861.8918,1004.464923038156
3862.7803,1003.0360717399436
3863.6687,1001.616080150408
3864.5598,1000.2004743859553
3865.4487,998.7970094498993
3866.3401,997.3982324796726
3867.2297,996.0108648500652
3868.1213,994.6289468800927
3869.0112,993.2581815147283
3869.9014,991.8954319435379
3870.7937,990.5379409540453
3871.6841,989.1917609104767
3872.5769,987.8503619495127
3873.4678,986.5201760599717
3874.3611,985.19475434027
3875.2524,983.8805953497088
3876.1438,982.574540927025
3877.0376,981.2732205436919
3877.9297,979.9825780280836
3878.8237,978.6973726327586
3879.7161,977.4226050123269
3880.6108,976.1526786567067
3881.5037,974.8933850036252
3882.3965,973.6422659857908
3883.2917,972.3958145725535
3884.1851,971.159852219581
3885.0808,969.9286789402356
3885.9746,968.7080387261764
3886.8706,967.4923018860179
3887.7649,966.2867325215086
3888.6592,965.0889824357133
3889.5559,963.8958346530109
3890.4507,962.7129833300332
3891.3479,961.5347167601597
3892.2429,960.3670448167039
3893.1406,959.2035473188565
3894.0361,958.0505479281138
3894.9341,956.9019653929923
3895.8301,955.7635283705389
3896.7263,954.6323854409385
3897.625,953.5056344587505
3898.5215,952.3891387040849
3899.4207,951.2767688332278
3900.3176,950.1746821933607
3901.217,949.0769501633465
3902.1145,947.988917633376
3903.0122,946.9079851393325
3903.9121,945.8317412189841
3904.8103,944.7648236758569
3905.7107,943.7025734641513
3906.6094,942.6495652981599
3907.51,941.6015510890791
3908.4089,940.5626903097013
3909.3081,939.5306227174083
3910.2097,938.5029380844155
3911.1091,937.4848501346488
3912.011,936.4710102315908
3912.9111,935.4662285311297
3913.8132,934.4662336606236
3914.7136,933.4750990422169
3915.6143,932.4905753825665
3916.5171,931.510691430456
3917.4182,930.5395449006237
3918.3215,929.5729070102577
3919.2229,928.6151374964692
3920.1267,927.6616419562547
3921.0286,926.7169314757242
3921.9307,925.7787563172761
3922.835,924.8450325326232
3923.7373,923.9200682735698
3924.6421,922.9992253152807
3925.5452,922.0867563942508
3926.4502,921.1789957815585
3927.3535,920.2795262412856
3928.2571,919.3863106451697
3929.1628,918.4975654918953
3930.0667,917.6170908620245
3930.9731,916.7406755695521
3931.8774,915.8727417377395
3932.7839,915.0091333595514
3933.6887,914.1535413969864
3934.5938,913.304030053481
3935.501,912.4589054781517
3936.4062,911.621958604217
3937.3142,910.7887301269009
3938.22,909.9637851316307
3939.1279,909.1431769942303
3940.0342,908.3302258767241
3940.9407,907.5232736460763
3941.8494,906.7205353293408
3942.7561,905.9256942077716
3943.6653,905.1347814994923
3944.5725,904.3516879557939
3945.4822,903.5725053512335
3946.3899,902.8010643703585
3947.2979,902.0353647657139
3948.208,901.2738838377579
3949.1162,900.5199419266456
3950.0269,899.7698638228857
3950.9355,899.0274138526078
3951.8467,898.2887280528937
3952.7559,897.5575132110686
3953.665,896.832193016853
3954.5769,896.1104516184754
3955.4866,895.3962242214701
3956.3987,894.6858732725384
3957.3088,893.9828016013836
3958.2214,893.2835098507542
3959.1321,892.5913476420067
3960.0449,891.9032491495076
3960.9561,891.221980794067
3961.8672,890.5463780639187
3962.7808,889.8745077988198
3963.6924,889.2096567648563
3964.6064,888.5485924230782
3965.5186,887.8943309233939
3966.4329,887.2440507546818
3967.3455,886.6004313463873
3968.2581,885.9622317918756
3969.1731,885.3277683682123
3970.0862,884.7000005300783
3971.0017,884.075949770096
3971.9153,883.4585251149239
3972.8313,882.8447984648324
3973.7451,882.2378272941489
3974.6592,881.6359083751247
3975.5759,881.037525994967
3976.4905,880.4457263263589
3977.4075,879.857574088545
3978.3225,879.2758688665641
3979.2397,878.6979163160612
3980.1553,878.1260902021695
3981.0708,877.5594138140501
3981.9888,876.9962721532657
3982.905,876.4392832977385
3983.8232,875.8861132201547
3984.7397,875.338968071844
3985.6587,874.7953216339697
3986.5757,874.2578147702294
3987.4927,873.7252338289555
3988.4121,873.196179142871
3989.3298,872.6729905999172
3990.2498,872.1533675445847
3991.1677,871.6397718628835
3992.0879,871.129718338421
3993.0063,870.6254587724618
3993.925,870.1258037769804
3994.8459,869.6297148652293
3995.7649,869.1393785524989
3996.6863,868.6524799324808
3997.6057,868.1713228516534
3998.5276,867.6935317724225
3999.4475,867.2214185122135
4000.3674,866.7539174184581
4001.29,866.2896525549684
4002.2104,865.8310694516732
4003.1333,865.3758046364987
4004.0544,864.925960656768
4004.9775,864.4796593436032
4005.8989,864.0386681082456
4006.8206,863.6019959269586
4007.7446,863.1686905757452
4008.6665,862.7407934085778
4009.5908,862.3161944748587
4010.5132,861.8968493549338
4011.438,861.4807834222885
4012.3608,861.0699559026347
4013.2839,860.6633077922269
4014.2095,860.2598664982921
4015.1328,859.8617026499293
4016.0588,859.4666398759784
4016.9827,859.0767073577423
4017.9089,858.6900266478855
4018.8333,858.3082902184073
4019.7578,857.9306793287682
4020.6848,857.5562087218799
4021.6096,857.186756586826
4022.5371,856.820346303764
4023.4624,856.4588946533295
4024.3901,856.1005837555813
4025.3162,855.7469416541635
4026.2422,855.3973623352031
4027.1704,855.0509691474766
4028.0969,854.7091988192207
4029.0259,854.3704852525989
4029.9526,854.036558004702
4030.8821,853.7055607191206
4031.8093,853.37929102447
4032.739,853.0560394572597
4033.6667,852.737352254671
4034.5947,852.4224072384698
4035.5251,852.1104870578667
4036.4534,851.8030808869019
4037.3843,851.4986140740082
4038.313,851.1986378041775
4039.2441,850.9016462848022
4040.1736,850.6088991752025
4041.103,850.3198928474015
4042.0347,850.0338732195557
4042.9646,849.7520810727665
4043.897,849.4731966611803
4044.8271,849.1986361577761
4045.76,848.9268762916848
4046.6907,848.659356518606
4047.6216,848.3953549045111
4048.5549,848.1342420424954
4049.4863,847.8772034556806
4050.4202,847.6230079273281
4051.3521,847.3728628921557
4052.2861,847.1256481451597
4053.2185,846.8823257146859
4054.1509,846.6424491198708
4055.0857,846.4053942182007
4056.0186,846.1722342972179
4056.9539,845.9418775022258
4057.8872,845.7153899287443
4058.823,845.4916624892012
4059.7566,845.271800824941
4060.6907,845.0551404151896
4061.627,844.8412818030961
4062.5613,844.6311659258029
4063.4983,844.4237200469922
4064.4331,844.2200123051416
4065.3701,844.0190645723607
4066.3054,843.8216966515539
4067.241,843.6274601859554
4068.1787,843.4359746958282
4069.1147,843.2479992216154
4070.053,843.0627145118636
4070.9893,842.8809523370077
4071.928,842.7018416899517
4072.8647,842.5262053897302
4073.8018,842.3535668562919
4074.7412,842.1835707065701
4075.6787,842.0169604012458
4076.6184,841.8529902324544
4077.5562,841.6923586638977
4078.4966,841.5342798744023
4079.4348,841.3795443637246
4080.3733,841.2277125856625
4081.3142,841.0784393592359
4082.2532,840.9323911316476
4083.1943,840.788928616645
4084.1338,840.6486002008212
4085.0757,840.5107941544537
4086.0154,840.3761665650285
4086.9553,840.2443467239661
4087.8977,840.1150065391221
4088.8381,839.9887482171134
4089.781,839.8649521811205
4090.7219,839.7441939443244
4091.6653,839.6258806498336
4092.6064,839.5105977530974
4093.5481,839.3979652556084
4094.4919,839.2877981554565
4095.4338,839.1805470076447
4096.3784,839.0756742415863
4097.3208,838.9737089034455
4098.2656,838.8741370423363
4099.2085,838.7773969604344
4100.1514,838.6832688781654
4101.0967,838.5915063026565
4102.04,838.5025212215053
4102.9863,838.415829282185
4103.9302,838.3319109591541
4104.8765,838.2503228389346
4105.8208,838.1714293432469
