wspec,mspec
93.7937,4.755366709832347e-06
96.88579999999999,4.973314280377473e-06
98.9472,6.211486539470441e-06
101.0086,8.760450456492298e-06
103.07,1.1978946763147303e-05
105.1314,6.87710044143262e-06
107.19279999999999,1.1549977871786374e-05
109.2542,1.583438487747181e-05
111.31559999999999,1.5800885638107072e-05
113.377,2.036286932688173e-05
117.4998,1.347668825368601e-05
121.62259999999999,1.8185917845420808e-05
124.7147,2.642970155407673e-05
128.8375,2.9090685576990114e-05
130.8989,2.596090601974081e-05
131.9296,2.5357506205831837e-05
135.02169999999998,2.7592507256026713e-05
136.0524,3.072808184429865e-05
138.1138,2.905283784641574e-05
141.20589999999999,3.089413813329949e-05
144.298,3.570859018444582e-05
147.3901,3.847581729851678e-05
151.5129,3.181336428960228e-05
155.63569999999999,3.6562707970886295e-05
159.7585,3.870966028381323e-05
163.88129999999998,4.29370825586369e-05
166.9734,4.2290226359092125e-05
171.09619999999998,4.93345520453403e-05
175.219,4.93161285376978e-05
178.31109999999998,4.0855383806279836e-05
182.4339,4.571077000488145e-05
185.52599999999998,5.379074424715732e-05
187.5874,5.644125611729189e-05
191.7102,5.0226477848961866e-05
196.8637,5.5876902908195054e-05
199.95579999999998,6.352202715455609e-05
204.0786,6.811765772736358e-05
208.20139999999998,6.221729372512554e-05
211.2935,6.651697831817659e-05
216.447,7.077959940281831e-05
222.63119999999998,7.393800739211087e-05
226.754,6.019018038030276e-05
229.84609999999998,7.24156675278218e-05
233.9689,7.931403243565295e-05
237.06099999999998,9.270775253932622e-05
241.1838,0.00018219091134429377
247.368,0.00027152870627122157
253.5522,0.0002630495475451376
259.7364,0.0003306349089774
264.8899,0.00026647825699087726
267.98199999999997,0.00031549998409379377
272.1048,0.00036088206768141866
277.25829999999996,0.00034221184338533
282.41179999999997,0.0003588934835508074
287.5653,0.0003350708983738577
292.7188,0.00035402934332576024
298.90299999999996,0.0003572002925003293
305.0872,0.0003285503147766336
310.2407,0.00033537763750360973
317.4556,0.00029484146587958394
327.76259999999996,0.00036637767810039786
338.0696,0.0003784056082172851
348.3766,0.0003385394063441987
358.68359999999996,0.00034660225470264027
367.9599,0.0003430697441813773
377.2362,0.0003647141915668752
386.5125,0.0003523406978204383
396.8195,0.00032789790004310673
407.12649999999996,0.00035709429770028583
417.4335,0.00035576191892222684
426.7098,0.00034746020323174796
434.9554,0.0003425845081368212
443.20099999999996,0.00034412214119388616
454.5387,0.00032777903638833104
464.84569999999997,0.0003404864442121749
474.12199999999996,0.00033393609096917757
484.429,0.0003347798952440026
494.736,0.00032771934369180345
505.04299999999995,0.00032482954778910065
515.35,0.00032573743155241673
521.5341999999999,0.00032258392027125177
527.7184,0.0003128361883761605
535.9639999999999,0.00032733045256408806
546.271,0.00032231922445802714
556.578,0.00030516402593044564
566.885,0.00029509097118752463
577.192,0.0003152878931410728
587.499,0.00031071564234555645
597.8059999999999,0.0003076499274761587
608.1129999999999,0.0003083425167684953
618.42,0.0003008994321253481
628.727,0.00030134623635974343
639.034,0.0003025234757680048
649.341,0.00030074996086346795
659.6479999999999,0.00029485906789017364
669.9549999999999,0.000296661110803098
678.2006,0.00029534935929861097
685.4155,0.000293898432497027
695.7225,0.00029546288018631134
706.0295,0.00031129900525115776
716.3365,0.0002935939535757349
726.6435,0.00029923770897625097
737.9812,0.0002968118356914192
748.2882,0.0002969005292556952
757.5645,0.00029798528056107135
767.8715,0.00029808300823701706
778.1785,0.0002986933898640657
788.4855,0.0002768106199839123
798.7924999999999,0.0003065224838190083
809.0994999999999,0.00029271025601418035
819.4064999999999,0.00031586098743435466
829.7135,0.0003202243679006677
840.0205,0.00032125258296555035
850.3275,0.00032921591425924855
860.6345,0.0003537203310938044
870.9414999999999,0.000390010725947418
881.2484999999999,0.0004338829989947566
891.5554999999999,0.0004953384979345927
901.8625,0.0005572566458587822
912.1695,0.000644775777892224
922.4765,0.0007706237646007219
932.7835,0.0009549778957427948
943.0904999999999,0.13264415285191808
953.3974999999999,0.1256208285693982
963.7044999999999,0.16863817787737298
974.0115,0.19856455182728835
984.3185,0.19589851442012227
994.6255,0.2903849144398394
1004.9325,0.13196516751118179
1015.2394999999999,0.3579144953105977
1025.5465,0.34274160272158744
1035.8535,0.4753500465403061
1046.1605,0.40449832220209686
1056.4675,0.21832574035121682
1066.7745,0.3505467714580768
1077.0815,0.6022380632181186
1087.3885,0.6723960070569974
1097.6955,0.6725553867969487
1108.0025,0.7538319771979104
1118.3094999999998,0.6908583808781056
1128.6164999999999,0.8131876021430197
1138.9234999999999,0.9071484237667189
1149.2305,0.9476248874317609
1159.5375,0.8616688403520707
1169.8445,1.0423007512429365
1180.1515,0.9250650586834429
1190.4585,1.017035362694271
1200.7655,1.0785440999584714
1211.0725,0.9141244529083767
1221.3795,1.1538834054423788
1231.6865,1.2615782895080139
1241.9935,1.4296166961432863
1252.3004999999998,1.2804957790194658
1262.6074999999998,1.4970004984073146
1272.9144999999999,1.4640576694415337
1283.2214999999999,1.48040716072865
1293.5285,1.3690565759335267
1303.8355,1.2051819167440745
1314.1425,1.5517546212794748
1324.4495,1.764514085093207
1334.7565,1.7683762119987105
1345.0635,1.7360449121372123
1355.3705,2.0857761586724206
1365.6775,2.185670308959816
1375.9845,2.1693935789290517
1386.2915,2.4819743387606295
1396.5984999999998,2.4306517026515597
1406.9054999999998,2.37958026955687
1417.2124999999999,2.5359275595225528
1427.5194999999999,2.649616382019712
1437.8265,2.804938415825671
1448.1335,2.8348861779026513
1458.4405,2.756889120323876
1468.7475,2.832519486404712
1479.0545,2.7866937909349505
1486.2694,2.991359704969562
1491.4229,3.1007744893564415
1499.6685,3.1248937218178976
1509.9755,3.0185825034854545
1520.2825,3.0390973290802425
1530.5894999999998,3.1265372915588565
1540.8964999999998,3.249164581079086
1551.2034999999998,3.3023402498406242
1558.4184,3.1898614226262367
1563.5719,3.327498281470355
1571.8174999999999,3.1582208913504815
1582.1245,3.0840957770695128
1592.4315,3.2456457322414374
1602.7385,3.3078278698103416
1613.0455,3.1362004033000104
1623.3525,3.33726835627694
1633.6595,3.5195368219004415
1643.9665,3.707920719857896
1654.2735,3.5913061665102552
1664.5805,3.625726475760572
1674.8874999999998,3.450033913317171
1685.1944999999998,3.6010467754201176
1695.5014999999999,3.7537520376485616
1705.8084999999999,3.356723912123458
1716.1154999999999,3.8131152354615505
1723.3303999999998,3.3543981259252984
1728.4839,3.7288973481383403
1736.7295,3.9853561778703352
1747.0365,3.788629393636256
1757.3435,3.7681669013773518
1767.6505,3.8278457023798493
1777.9575,3.7925331405968756
1788.2645,4.002475778493843
1798.5715,3.920017937959743
1808.8784999999998,4.169487033200175
1819.1854999999998,3.8389668369470424
1829.4924999999998,4.090212850432265
1839.7994999999999,4.126914387759562
1850.1064999999999,4.350052249316527
1860.4134999999999,4.288346023479499
1870.7205,4.248123480992049
1881.0275,4.179681445559311
1891.3345,4.1542097429762315
1901.6415,3.9600261747477017
1911.9485,4.0703560820866285
1922.2555,4.137171624267434
1932.5625,4.269169873053934
1942.8695,4.198678958614948
1953.1764999999998,4.176252301063347
1963.4834999999998,4.215168513170979
1973.7904999999998,4.243817621626071
1984.0974999999999,4.256900920044825
1994.4044999999999,4.160066155569488
2004.7115,4.3625444234255175
2015.0185,4.27594438571582
2027.3869,4.403890787448637
2036.6632,4.346751490575077
2044.9088,4.278040699935701
2056.2464999999997,4.198584423488618
2066.5535,4.137135806414207
2076.8605,4.079020248159915
2087.1675,4.056150857270811
2097.4745,4.105699859783618
2107.7815,4.1987282831942
2118.0885,4.085290827976316
2128.3955,4.059216148029543
2137.6718,4.188546116952987
2141.7945999999997,4.214150183914318
2149.0095,4.207384936203307
2159.3165,4.114808039901212
2169.6234999999997,4.082165185087683
2179.9305,4.094149373569747
2190.2374999999997,4.133881470131394
2200.5445,3.8671565697292825
2210.8514999999998,4.107361491393969
2221.1585,4.128532686577755
2231.4655,4.003597420238064
2241.7725,4.012473797955086
2252.0795,4.082260466882528
2262.3865,4.291602153780737
2272.6935,4.199110480998895
2283.0005,4.040731821669547
2293.3075,4.068077706404267
2303.6144999999997,4.4192832876332275
2313.9215,4.241350455595893
2324.2284999999997,4.18358563886218
2334.5355,4.216798242507441
2344.8424999999997,4.454144923703384
2355.1495,4.6283023313913
2365.4565,4.4937401743138095
2375.7635,4.616748377934665
2386.0705,4.6041973807295085
2396.3775,4.134601072253691
2406.6845,4.571816664942863
2416.9915,4.317998685326646
2427.2985,4.76917266903233
2437.6054999999997,4.447740897587045
2447.9125,4.700479872425678
2458.2194999999997,4.335456053416126
2468.5265,4.675135268073395
2478.8334999999997,4.6044269757277245
2489.1405,4.737678270243141
2499.4474999999998,5.080829098199099
2509.7545,4.97902052980855
2520.0615,5.284956969094328
2530.3685,5.258305009005223
2540.6755,5.274957922516118
2550.9825,5.143753613468082
2561.2895,5.269981909443772
2571.5964999999997,5.225841015559738
2581.9035,5.709020631556236
2590.1491,5.2670962371798185
2595.3026,5.239233719505955
2602.5175,5.069531144748689
2612.8244999999997,5.178015684045113
2623.1315,5.254436838932657
2633.4384999999997,5.691721384722577
2643.7455,5.6352015312866905
2654.0525,5.968388660061201
2664.3595,5.990970573471154
2674.6665,5.962614516469013
2684.9735,5.807278036745793
2695.2805,5.777181774897721
2705.5875,6.101013113140198
2715.8945,6.375803758754668
2726.2014999999997,7.040687884421011
2736.5085,7.252092215508793
2746.8154999999997,6.811118199430178
2757.1225,7.086343201810934
2767.4294999999997,7.23520450634388
2777.7365,6.889663806413184
2788.0434999999998,7.11008135406865
2798.3505,6.765823010820454
2808.6575,6.776404579604052
2818.9645,7.168192504603318
2829.2715,6.3541639766217
2839.5785,6.608016363555072
2849.8855,7.023570665235264
2860.1924999999997,7.375326359667625
2870.4995,7.050039808763657
2880.8064999999997,5.4623897737833085
2891.1135,5.975280851957426
2901.4204999999997,7.617440444989974
2911.7275,7.950139152371873
2922.0344999999998,7.814374111624842
2932.3415,7.552978105107853
2942.6485,7.15720115273078
2952.9555,7.977584356063089
2963.2625,8.11853004491236
2973.5695,8.168906426465442
2983.8765,8.234811873166517
2999.337,8.9554632239014
3019.951,8.775700257078302
3040.565,8.803796320045132
3061.1789999999996,9.01903651038892
3081.7929999999997,9.186519964694556
3102.4069999999997,9.416698521138128
3123.0209999999997,9.540014845178726
3143.6349999999998,9.731688464358704
3164.249,9.772085012080927
3184.863,9.925910151083094
3205.477,10.068993649455038
3226.091,10.053243519972819
3246.705,10.145634155435713
3267.319,10.414521353439996
3287.933,10.137071566679353
3308.547,10.595465185313193
3329.161,10.329736025412986
3349.7749999999996,11.085010325493993
3370.3889999999997,11.61505231498798
3391.0029999999997,11.685450612821835
3411.6169999999997,11.759632819226363
3432.2309999999998,11.81241423764684
3452.845,11.781713191436463
3473.459,11.303413503641297
3494.073,11.7459416171191
3514.687,12.022842312801814
3535.301,12.37489895618221
3555.915,12.567061802234848
3576.529,12.713369952508131
3597.143,13.036599533788404
3617.7569999999996,13.401310986797919
3638.3709999999996,13.232339541857254
3658.9849999999997,13.903888694270737
3679.5989999999997,13.109003643870366
3700.2129999999997,13.124487456907145
3712.40350118,10.442588963988007
3713.33123425,10.01872102601511
3714.2592765299996,13.428644878011536
3715.1870096,13.58554598864088
3716.1148457399995,12.596107100575644
3717.0428880199997,13.855632385472042
3717.97062109,14.561962282875799
3718.89866337,14.039244732081055
3719.82639644,12.668680746228633
3720.7541295099995,12.780766118633256
3721.6821717899998,12.541352506042623
3722.6100079299995,10.760320900925727
3723.5379471399997,13.40661955764057
3724.46578328,10.579105955033574
3725.3935163499996,10.504853369620179
3726.32155863,13.517306046376243
3727.2492917,14.548665295820294
3728.17733398,14.704190545955708
3729.10506705,13.905280952215517
3730.03290319,13.14008148795907
3730.9608424,12.770394139925944
3731.8886785399995,12.7993470309509
3732.81672082,13.488509423229724
3733.74445389,14.533419153458443
3734.6721869599996,14.991570306753218
3735.60022924,14.408670963476519
3736.5279623099996,13.430485749101358
3737.45600459,13.332201848169701
3738.3838407299995,14.33265070083542
3739.3115738,15.19351806554652
3740.23961608,15.231436840584651
3741.16734915,12.373601499400312
3742.09539143,11.12972147467246
3743.0231244999995,12.504656092348414
3743.95085757,13.072371003840338
3744.87889985,10.809017612801169
3745.80673599,13.057866400594792
3746.7346752,14.090103933190374
3747.66251134,13.777779859707646
3748.5902444099997,13.808418378833563
3749.5182866899995,11.382669149363794
3750.44601976,11.159891546307877
3751.37406204,13.133018032596928
3752.3017951099996,12.734011471517654
3753.22963125,12.529379718573606
3754.15767353,11.833535857499244
3755.0854065999997,11.185011779255824
3756.0134488799995,11.269733240911592
3756.94118195,11.265788874850552
3757.86891502,11.142375664228858
3758.7969572999996,13.446034979647246
3759.7246903699997,13.062828299990056
3760.65273265,13.030279631128126
3761.5805687899997,13.946965831785315
3762.50830186,13.851582489469319
3763.43634414,13.383633029129578
3764.36407721,13.72213052217848
3765.2921194899995,14.051434559194462
3766.21985256,14.383299829288731
3767.1476886999994,15.016548345802414
3768.0756279099996,15.598260406825002
3769.00346405,15.203610255754189
3769.93150633,14.821966650901999
3770.8592393999998,14.948862382869585
3771.78697247,15.082292333366325
3772.71501475,14.525128617266244
3773.64274782,11.75479408374391
3774.5707901,14.810749579496166
3775.49862624,15.084272508122858
3776.4263593099995,14.155359684465823
3777.3544015899997,13.993361002432605
3778.28213466,14.16768987883821
3779.21017694,12.082442336352003
3780.13791001,12.418392517874953
3781.06574615,14.805496871273668
3781.9936853599997,14.595839471802378
3782.9215215,14.504438855193113
3783.84946071,14.752202839508028
3784.77729685,14.365401274142913
3785.70502992,12.610304156903068
3786.6330722,15.237379578590833
3787.5608052699995,12.724959126276282
3788.4888475499997,12.501339295965577
3789.41658062,12.563398231972219
3790.34441676,12.084656817276844
3791.27245904,14.670743032660694
3792.20019211,14.977866195124902
3793.1282343899998,14.392463225852218
3794.0559674599995,13.805222365885763
3794.98370053,12.662731618211826
3795.91174281,12.617774786477097
3796.83957895,14.341024739156863
3797.76751816,15.011529084434496
3798.6953543,14.628187619905688
3799.6230873699997,13.637708974299022
3800.5511296499994,12.781448007482435
3801.47886272,12.880176340641642
3802.406905,14.253151382354545
3803.3346380699995,15.469135167721564
3804.2624742099997,15.258515905405885
3805.19051649,14.046434122571291
3806.1182495599996,13.512289372996172
3807.0462918399994,14.848329168143291
3807.97402491,15.056129050059132
3808.9017579799997,15.030049497488045
3809.8298002599995,14.8275798656588
3810.7576363999997,14.257107694138671
3811.68557561,14.146592583114543
3812.6134117499996,14.471809654150913
3813.5411448199998,15.550034473505267
3814.4691871,16.61743845502836
3815.3969201699997,16.391153149514913
3816.32496245,15.16287875579714
3817.25269552,14.049707693386747
3818.1805316599994,13.072247931712404
3819.10847087,12.829885467411387
3820.0363070099997,13.254880823110224
3820.96434929,14.110886660791293
3821.8920823599997,15.039029990637667
3822.81981543,15.322594592677804
3823.74785771,14.61377722014592
3824.6755907799998,13.835175633440393
3825.60363306,13.341404929531116
3826.5314691999997,13.204910358789403
3827.45920227,14.112110686758838
3828.3872445499997,15.164029647826604
3829.31497762,16.56811349726707
3830.2430199,17.542509067430125
3831.1707529699997,17.702335060444753
3832.09858911,17.779619646081223
3833.0265283199997,16.972254454046883
3833.95436446,15.309292437389104
3834.8824067399996,13.768945219664712
3835.81013981,12.532408898720767
3836.73787288,12.373811403283412
3837.6659151599997,13.956895531111954
3838.5936482299994,19.43576262889101
3839.5216905099996,29.338649466174406
3840.44952665,39.72866526024602
3841.37725972,48.196707008993684
3842.3053019999998,53.67821673445382
3843.23303507,56.86757777821514
3844.1610773499997,55.69913139890076
3845.0888104199994,49.308287515292356
3846.0166465599996,38.927071975578194
3846.94458577,27.9486476207074
3847.87242191,19.55498048767207
3848.8004641899997,13.865985976848238
3849.72819726,11.00221826866
3850.6559303299996,10.726544292242183
3851.5839726099994,11.824618834970355
3852.51170568,12.991981126360328
3853.4397479599997,14.931568850295976
3854.3675841,16.9758280549274
