jd,fnu_microJy,fnu_microJy_unc,passband,programid,fcqfid,N_baseline,pre_or_post,zpdiff,C,sys_unc_factor,poor_conditions
2458641.8703704,1.7238105972755182,2.140259278486537,ZTF_r,3,4341202,349,-1,26.2569,1,1,0
2458641.8708218,-6.408627508545954,2.2555702207740302,ZTF_r,3,4341202,349,-1,26.2557,1,1,0
2458641.8712731,-2.957006763483153,2.2003509238703822,ZTF_r,3,4341202,349,-1,26.2621,1,1,0
2458641.8717245,-0.4133529936768536,2.4488067802702638,ZTF_r,3,4341202,349,-1,26.2635,1,1,0
2458641.8721759,0.19822518491663083,2.2417202688427342,ZTF_r,3,4341202,349,-1,26.2562,1,1,0
2458641.8726273,1.1370926684450988,2.1857012849865938,ZTF_r,3,4341202,349,-1,26.2602,1,1,0
2458641.8730787,5.679213105006275,2.466847092836712,ZTF_r,3,4341202,349,-1,26.2613,1,1,0
2458641.8735301,1.8769496984655063,2.2555173249488365,ZTF_r,3,4341202,349,-1,26.2704,1,1,0
2458641.8739815,-1.2570260189192548,2.237409024349961,ZTF_r,3,4341202,349,-1,26.2556,1,1,0
2458641.8744329,-0.4723035762460388,2.1947255667518832,ZTF_r,3,4341202,349,-1,26.2654,1,1,0
