58955.44172 -16.11718 -999.00000 -999.00000 -999.00000
58966.47747 -15.54565 -999.00000 -999.00000 -999.00000
58975.43069 -17.72756 0.07690 0.07418 0.07963
58986.45066 -18.58133 0.01985 0.01966 0.02003
58992.41896 -18.30582 0.02879 0.02841 0.02918
58996.31220 -18.12055 0.03128 0.03083 0.03173
59000.35582 -20.59396 -999.00000 -999.00000 -999.00000
59011.31777 -17.43062 0.05149 0.05027 0.05271
59014.25774 -17.00155 0.08837 0.08478 0.09196
59020.27608 -16.71873 0.08202 0.07892 0.08511
59027.27282 -16.44530 0.15614 0.14495 0.16732
59033.31721 -16.92196 -999.00000 -999.00000 -999.00000
59036.28971 -16.23075 0.26198 0.23067 0.29328
59039.27053 -15.56770 0.28712 0.24959 0.32465
59042.24508 -15.48893 0.21276 0.19205 0.23348
59045.21236 -15.65193 0.19529 0.17782 0.21276
59048.24358 -15.42650 0.23039 0.20612 0.25465
59051.35442 -15.40177 0.38112 0.31556 0.44668
59064.30995 -17.27787 -999.00000 -999.00000 -999.00000
59067.28917 -16.27863 -999.00000 -999.00000 -999.00000
59070.19100 -14.59865 0.52175 0.40093 0.64256
59075.23015 -15.54200 0.30134 0.26005 0.34263
59094.27454 -17.32626 -999.00000 -999.00000 -999.00000
